state,gender,enrolled,rejected,enrolled_perc,rejected_perc,email_instances,mobile_instances,email_perc_enr,mobile_perc_enr
Andaman and Nicobar Islands,F,137112,6293,95.61172901921132,4.3882709807886755,2370,111494,1.652662041072487,77.74763780900248
Andaman and Nicobar Islands,M,153497,7347,95.43222003929273,4.567779960707269,5640,131071,3.5065031956429835,81.48951779363856
Andaman and Nicobar Islands,T,5,2,71.42857142857143,28.57142857142857,0,7,0.0,100.0
Andhra Pradesh,F,26297096,6348055,80.5543708466841,19.44562915331591,177200,8524622,0.5428064952127194,26.11298076090994
Andhra Pradesh,M,26522994,6058888,81.40411901313742,18.595880986862575,471597,11030795,1.447420993053747,33.85561030513829
Andhra Pradesh,T,4534,3300,57.875925453152924,42.124074546847076,22,1818,0.2808271636456472,23.206535613990297
Arunachal Pradesh,F,236010,7452,96.93915272198537,3.0608472780146387,759,105949,0.311752963501491,43.51767421609944
Arunachal Pradesh,M,258210,8422,96.84133937411865,3.1586606258813648,1624,127675,0.6090791802934381,47.88434996549552
Arunachal Pradesh,T,3,3,50.0,50.0,0,0,0.0,0.0
Assam,F,201065,3198,98.43437137415978,1.565628625840216,3232,123616,1.5822738332443957,60.51805760220892
Assam,M,303055,7729,97.51306373558485,2.4869362644151565,9931,224310,3.195466948105437,72.17553027182866
Assam,T,0,2,0.0,100.0,0,1,0.0,50.0
Bihar,F,27221631,1655170,94.26816703138273,5.731832968617264,1215642,9212792,4.209753012461456,31.903783248012825
Bihar,M,29146515,2018360,93.52360630357093,6.4763936964290725,300688,12521333,0.9648297963652991,40.17770968117151
Bihar,T,421,129,76.54545454545455,23.454545454545457,2,170,0.36363636363636365,30.909090909090907
Chandigarh,F,271736,26954,90.97592821989353,9.024071780106464,17719,223635,5.932237436807393,74.87194080819579
Chandigarh,M,324420,33352,90.6778618785148,9.322138121485192,29371,279640,8.209418288742551,78.16151068278121
Chandigarh,T,19,9,67.85714285714286,32.142857142857146,2,23,7.142857142857142,82.14285714285714
Chhattisgarh,F,10258398,641286,94.11647163348957,5.883528366510442,103124,2776552,0.9461191718952586,25.473692631823084
Chhattisgarh,M,10314552,631513,94.23068472551552,5.769315274484484,154525,3363022,1.41169452218674,30.723570525115644
Chhattisgarh,T,228,99,69.72477064220183,30.275229357798167,3,116,0.9174311926605505,35.47400611620795
Dadra and Nagar Haveli,F,115893,9412,92.48872750488808,7.511272495111927,904,52275,0.7214396871633215,41.71820757352061
Dadra and Nagar Haveli,M,154004,14107,91.60852056081994,8.391479439180067,2062,92143,1.2265705397029343,54.8108095246593
Dadra and Nagar Haveli,T,16,6,72.72727272727273,27.27272727272727,0,19,0.0,86.36363636363636
Daman and Diu,F,38696,4857,88.84807016738226,11.15192983261773,379,20328,0.870204119119234,46.67416710674351
Daman and Diu,M,53902,5378,90.92780026990553,9.072199730094468,1187,33573,2.002361673414305,56.63461538461539
Daman and Diu,T,4,0,100.0,0.0,1,2,25.0,50.0
Delhi,F,5338758,3174065,62.714307580458325,37.285692419541675,112118,4438728,1.3170484103804343,52.14166910318704
Delhi,M,6522931,3463033,65.32099454794749,34.6790054520525,205492,5369257,2.057808339785723,53.768038819286744
Delhi,T,1053,909,53.669724770642205,46.330275229357795,6,984,0.3058103975535168,50.15290519877675
Goa,F,522249,186117,73.72587052455934,26.27412947544066,11799,262517,1.6656643599495178,37.05951443180503
Goa,M,553808,174055,76.0868460136042,23.91315398639579,21504,309764,2.9544021333685047,42.558008856062195
Goa,T,118,308,27.699530516431924,72.30046948356808,0,150,0.0,35.2112676056338
Gujarat,F,18569926,1203548,93.91332044131447,6.08667955868554,118977,6951651,0.6017000351076397,35.156447470990685
Gujarat,M,21352856,1358973,94.016452836097,5.983547163903004,318562,9868255,1.4026259179742855,43.44984721397823
Gujarat,T,741,320,69.83977379830348,30.16022620169651,12,543,1.1310084825636193,51.17813383600377
Haryana,F,10411209,907453,91.98268311219118,8.017316887808825,106683,6038645,0.9425407349384582,53.3512264965594
Haryana,M,11857786,995114,92.25766947537132,7.7423305246286835,207374,7491050,1.6134413245259822,58.28295559756942
Haryana,T,357,101,77.9475982532751,22.05240174672489,5,234,1.0917030567685588,51.09170305676856
Himachal Pradesh,F,2275123,143845,94.05345585390134,5.946544146098667,20570,596045,0.8503626339827562,24.64046651299232
Himachal Pradesh,M,2443893,146709,94.33687613921397,5.663123860786025,64631,895673,2.494825527039661,34.57393300862116
Himachal Pradesh,T,155,43,78.28282828282829,21.71717171717172,2,43,1.0101010101010102,21.71717171717172
Jammu and Kashmir,F,2712150,219418,92.51533650251334,7.48466349748667,6053,915675,0.20647653405958857,31.234990967291225
Jammu and Kashmir,M,3045759,256660,92.22812126504843,7.771878734951561,23340,1192972,0.7067546546940289,36.12418654325814
Jammu and Kashmir,T,21,12,63.63636363636363,36.36363636363637,0,7,0.0,21.21212121212121
Jharkhand,F,11313873,1259389,89.98359375633785,10.016406243662146,42632,1660392,0.3390687317261026,13.205737699572314
Jharkhand,M,11931462,1260258,90.44659832076485,9.553401679235158,124593,2357843,0.9444788094350093,17.873658628291082
Jharkhand,T,558,150,78.8135593220339,21.1864406779661,2,102,0.2824858757062147,14.40677966101695
Karnataka,F,20735308,3043116,87.20219641133491,12.797803588665085,444644,12361001,1.869947310217027,51.9841054226302
Karnataka,M,21236103,2995270,87.63887626177848,12.36112373822152,829328,14036699,3.422538211103432,57.92779055483154
Karnataka,T,2205,863,71.87092568448502,28.129074315514995,26,1537,0.847457627118644,50.097783572359845
Kerala,F,14932910,4684749,76.11973477569367,23.880265224306324,324980,7942377,1.6565687067962593,40.48585511655596
Kerala,M,14055287,3822262,78.61976493533874,21.380235064661267,634760,8141023,3.550598574782259,45.53769087697648
Kerala,T,3412,2296,59.77575332866153,40.22424667133847,69,2456,1.2088297126839522,43.02733006306937
Lakshadweep,F,29374,3701,88.81027966742252,11.189720332577476,114,3600,0.34467120181405897,10.884353741496598
Lakshadweep,M,22932,5850,79.67479674796748,20.32520325203252,349,7491,1.2125634076853589,26.026683343756513
Lakshadweep,T,0,3,0.0,100.0,0,0,0.0,0.0
Madhya Pradesh,F,24057888,2654786,90.06169880259834,9.938301197401653,197017,6309930,0.7375412884535633,23.62148394428802
Madhya Pradesh,M,27470056,2871035,90.53746946673738,9.462530533262631,416503,9158870,1.3727357397926132,30.186356845243306
Madhya Pradesh,T,1299,444,74.52667814113597,25.47332185886403,7,399,0.4016064257028112,22.89156626506024
Maharashtra,F,36187339,3701139,90.72128297299285,9.278717027007147,562231,13039186,1.409507276762979,32.68910385600574
Maharashtra,M,39770656,3871662,91.12865178242824,8.87134821757176,1035895,16889330,2.3736021537627767,38.69943388433217
Maharashtra,T,2432,1199,66.97879372073808,33.02120627926191,31,1354,0.8537592949600661,37.29000275406224
Manipur,F,537793,31413,94.48125986022634,5.51874013977365,4883,132222,0.8578616528989504,23.229199973296137
Manipur,M,627651,35313,94.67346643256647,5.3265335674335255,9565,159210,1.4427631062923476,24.014878635944033
Manipur,T,194,35,84.71615720524017,15.283842794759824,1,29,0.43668122270742354,12.663755458515283
Meghalaya,F,16618,277,98.3604616750518,1.6395383249482094,550,12446,3.2554010062148566,73.666765315182
Meghalaya,M,23106,875,96.35127809515866,3.648721904841333,849,19216,3.5403027396689044,80.13010299820691
Mizoram,F,189558,6455,96.70685107620413,3.293148923795871,232,96167,0.11835949656400341,49.06154183651084
Mizoram,M,186664,6377,96.69655669002958,3.3034433099704206,423,95917,0.2191244347055807,49.68737211266001
Mizoram,T,0,1,0.0,100.0,0,1,0.0,100.0
Nagaland,F,441839,249656,63.89619592332555,36.10380407667445,816,184031,0.11800519164997578,26.613496843794966
Nagaland,M,441390,239558,64.81992751282036,35.180072487179636,1710,192512,0.2511204967192796,28.271174891474825
Nagaland,T,91,46,66.42335766423358,33.57664233576642,0,48,0.0,35.03649635036496
Odisha,F,12537478,2891284,81.26042776471631,18.739572235283685,29374,2052528,0.1903846854336077,13.303257902351465
Odisha,M,13207290,3085444,81.0624539748823,18.937546025117697,87853,2561120,0.5392158246737472,15.71939982571372
Odisha,T,2207,1288,63.14735336194563,36.85264663805437,5,645,0.14306151645207438,18.4549356223176
Puducherry,F,265682,165556,61.609134630992635,38.39086536900737,3646,205676,0.8454728015620144,47.6943126533376
Puducherry,M,271966,151755,64.18515957434255,35.81484042565745,7940,230571,1.8738745542467805,54.41575942660383
Puducherry,T,63,63,50.0,50.0,0,73,0.0,57.936507936507944
Punjab,F,9764320,975088,90.92046786936486,9.079532130635133,86107,3045968,0.8017853498069912,28.362531714969762
Punjab,M,11442223,1038748,91.6773462577551,8.322653742244894,142164,4051995,1.1390459924952956,32.465382701393985
Punjab,T,590,255,69.8224852071006,30.17751479289941,2,267,0.2366863905325444,31.59763313609468
Rajasthan,F,22268979,2403770,90.25738883008133,9.742611169918684,96414,6054737,0.3907712107799581,24.540179936982295
Rajasthan,M,24775599,2583378,90.55747588807871,9.442524111921289,242131,8799904,0.8850148161607067,32.16459445833812
Rajasthan,T,857,320,72.8122344944775,27.187765505522517,5,330,0.4248088360237893,28.037383177570092
Sikkim,F,173526,6613,96.32894598060386,3.6710540193961334,1126,18774,0.6250728604022449,10.421951937115228
Sikkim,M,188496,6869,96.48401709620454,3.5159829037954595,1669,23572,0.8542983645995957,12.065620761139407
Sikkim,T,12,3,80.0,20.0,1,0,6.666666666666667,0.0
Tamil Nadu,F,24959439,3047402,89.11907987052163,10.880920129478366,155377,14649294,0.5547823119358588,52.30612763503031
Tamil Nadu,M,24114970,2894830,89.28229753644973,10.717702463550268,379547,15155144,1.4052195869647313,56.109797184725544
Tamil Nadu,T,3177,1218,72.28668941979522,27.71331058020478,8,2277,0.1820250284414107,51.80887372013652
Telangana,F,588865,105795,84.77024731523335,15.229752684766648,14092,512586,2.028618316874442,73.789479745487
Telangana,M,646005,92375,87.48950404940545,12.510495950594544,18350,561271,2.485170237547062,76.01384111162274
Telangana,T,26,35,42.62295081967213,57.377049180327866,0,51,0.0,83.60655737704919
Tripura,F,422944,123651,77.37794893842789,22.622051061572098,1268,112757,0.23198163173830713,20.628984897410334
Tripura,M,444692,108160,80.43599371983822,19.56400628016178,3378,139389,0.6110134357838988,25.212715157040222
Tripura,T,49,68,41.88034188034188,58.119658119658126,0,9,0.0,7.6923076923076925
Uttar Pradesh,F,55678289,4956844,91.8251288407333,8.174871159266692,287366,23334881,0.4739265600357469,38.48409304223016
Uttar Pradesh,M,62885542,5696858,91.69341113755132,8.306588862448674,661360,30335851,0.9643290406868235,44.232705475457266
