state,enrollments_generated,rejected,email_instances,mobile_instances,bucket
India,5,1,0,4,-1
India,85131355,13417149,1584123,30475972,1
India,166635159,21438926,1387378,62363456,2
India,159637204,19312096,3981102,72786619,3
India,130984160,15897552,2055681,56046239,4
India,103336716,12994848,958284,41347189,5
India,67338620,8899010,529726,25355759,6
India,46950719,7094507,248204,15114968,7
India,16849061,2787542,74579,5074465,8
India,3630730,574394,16112,1118903,9
India,344361,61937,1444,109423,10
India,34512,18294,122,13347,11
Andaman and Nicobar Islands,41299,3389,413,33489,1
Andaman and Nicobar Islands,48731,2373,845,39289,2
Andaman and Nicobar Islands,58158,2729,3374,53004,3
Andaman and Nicobar Islands,55933,2156,1801,49197,4
Andaman and Nicobar Islands,41393,1363,1004,34887,5
Andaman and Nicobar Islands,24868,824,430,19426,6
Andaman and Nicobar Islands,14513,551,113,9736,7
Andaman and Nicobar Islands,4506,189,25,2833,8
Andaman and Nicobar Islands,1076,60,4,638,9
Andaman and Nicobar Islands,133,6,1,72,10
Andaman and Nicobar Islands,4,2,0,1,11
Andhra Pradesh,4,0,0,3,-1
Andhra Pradesh,9481231,1831444,25528,3222612,1
Andhra Pradesh,9244940,2417688,85118,3116731,2
Andhra Pradesh,10142829,2599166,313835,4506376,3
Andhra Pradesh,8390684,2004438,134321,3539424,4
Andhra Pradesh,6346067,1425899,51575,2489255,5
Andhra Pradesh,4125498,923461,25393,1418344,6
Andhra Pradesh,3411930,820682,9961,880314,7
Andhra Pradesh,1364996,319653,2529,307697,8
Andhra Pradesh,285793,60293,523,68562,9
Andhra Pradesh,28959,6426,32,7388,10
Andhra Pradesh,1693,1093,4,529,11
Arunachal Pradesh,43311,3262,16,15586,1
Arunachal Pradesh,133614,2569,439,60786,2
Arunachal Pradesh,107263,2451,1227,60014,3
Arunachal Pradesh,87673,2079,418,45145,4
Arunachal Pradesh,65940,1936,193,32151,5
Arunachal Pradesh,35875,1654,82,14627,6
Arunachal Pradesh,15185,1113,3,4112,7
Arunachal Pradesh,4460,584,4,1005,8
Arunachal Pradesh,822,189,1,183,9
Arunachal Pradesh,75,36,0,13,10
Arunachal Pradesh,5,4,0,2,11
Assam,18874,551,190,11387,1
Assam,83099,1316,841,50237,2
Assam,147107,4004,7082,114007,3
Assam,104218,2539,2903,75714,4
Assam,74927,1364,1066,51133,5
Assam,46013,698,853,30004,6
Assam,21341,310,187,11607,7
Assam,7329,84,34,3317,8
Assam,1104,53,7,487,9
Assam,105,9,0,33,10
Assam,3,1,0,1,11
Bihar,5009689,693497,1136651,1240778,1
Bihar,13546050,722309,92268,5221385,2
Bihar,11718263,731421,176449,5553771,3
Bihar,9456808,560344,60324,3940531,4
Bihar,7024411,394342,25293,2684516,5
Bihar,4592279,245716,13273,1588893,6
Bihar,3719253,228889,7493,1124207,7
Bihar,1038949,72002,4013,305434,8
Bihar,239447,20997,515,67660,9
Bihar,22475,3504,49,6697,10
Bihar,943,638,4,423,11
Chandigarh,112605,10696,2212,88878,1
Chandigarh,107312,12057,5699,88220,2
Chandigarh,130849,12500,16382,116803,3
Chandigarh,100265,10391,10792,87293,4
Chandigarh,68390,6984,5736,58345,5
Chandigarh,42544,3933,3913,36574,6
Chandigarh,22175,2689,1698,17863,7
Chandigarh,9009,846,530,7003,8
Chandigarh,2726,183,120,2082,9
Chandigarh,284,24,9,214,10
Chandigarh,16,12,1,23,11
Chhattisgarh,2597188,296642,41606,656072,1
Chhattisgarh,4520921,253165,39762,1223886,2
Chhattisgarh,4441414,233207,84719,1608273,3
Chhattisgarh,3275977,164685,41281,1082295,4
Chhattisgarh,2667489,133143,24191,797851,5
Chhattisgarh,1624961,85791,13883,441959,6
Chhattisgarh,1032380,68182,8273,233451,7
Chhattisgarh,334320,29471,3071,77632,8
Chhattisgarh,71143,7215,779,16588,9
Chhattisgarh,7033,1143,84,1574,10
Chhattisgarh,352,254,3,109,11
Dadra and Nagar Haveli,24669,2412,97,13306,1
Dadra and Nagar Haveli,62294,4448,417,26911,2
Dadra and Nagar Haveli,70930,6194,922,43265,3
Dadra and Nagar Haveli,52413,5185,894,33253,4
Dadra and Nagar Haveli,31598,2938,485,17015,5
Dadra and Nagar Haveli,16076,1361,120,6666,6
Dadra and Nagar Haveli,8719,732,25,2972,7
Dadra and Nagar Haveli,2701,200,6,854,8
Dadra and Nagar Haveli,467,44,0,173,9
Dadra and Nagar Haveli,39,7,0,18,10
Dadra and Nagar Haveli,7,4,0,4,11
Daman and Diu,15959,1818,107,7725,1
Daman and Diu,16066,1626,204,8846,2
Daman and Diu,22655,2350,576,15262,3
Daman and Diu,17406,1949,401,11155,4
Daman and Diu,9963,1222,177,6111,5
Daman and Diu,5435,634,57,2803,6
Daman and Diu,3323,422,36,1367,7
Daman and Diu,1389,159,9,484,8
Daman and Diu,366,47,0,134,9
Daman and Diu,38,5,0,15,10
Daman and Diu,2,3,0,1,11
Delhi,1967432,665238,16051,1396767,1
Delhi,2355299,1522538,36424,1968911,2
Delhi,2691938,1289512,115702,2185879,3
Delhi,2079690,1180379,77463,1770799,4
Delhi,1313838,925756,36748,1212557,5
Delhi,734492,521416,22553,672176,6
Delhi,497310,392717,9449,433338,7
Delhi,177771,118133,2600,136546,8
Delhi,41041,19445,571,28514,9
Delhi,3417,1481,54,2470,10
Delhi,514,1392,1,1012,11
Goa,125050,24965,1008,51993,1
Goa,174389,62382,3890,88704,2
Goa,183098,54081,11862,113570,3
Goa,199436,66360,8196,119018,4
Goa,166905,63001,4740,96132,5
Goa,112510,44919,2327,58522,6
Goa,76613,31422,980,31606,7
Goa,30879,11322,237,10477,8
