ReviewID,Position,Reviewer,AssociatedWith,Country,Movie,Score
1,1,Mo Abdi,Freelance,Iran,"1. La grande bouffe (Marco Ferreri, 1973)",10
2,2,Mo Abdi,Freelance,Iran,"2. The Music Box (James Parrott, 1932)",9
3,3,Mo Abdi,Freelance,Iran,"3. Seven Chances (Buster Keaton, 1925)",8
4,4,Mo Abdi,Freelance,Iran,"4. A Trip to the Moon (Georges Méliès, 1902)",7
5,5,Mo Abdi,Freelance,Iran,"5. Ninotchka (Ernst Lubitsch, 1939)",6
6,6,Mo Abdi,Freelance,Iran,"6. Kiss Me, Stupid (Billy Wilder, 1964)",5
7,7,Mo Abdi,Freelance,Iran,"7. Ball of Fire (Howard Hawks, 1941)",4
8,8,Mo Abdi,Freelance,Iran,"8. It Happened One Night (Frank Capra, 1934)",3
9,9,Mo Abdi,Freelance,Iran,"9. Take the Money and Run (Woody Allen, 1969)",2
10,10,Mo Abdi,Freelance,Iran,"10. What's Up, Doc? (Peter Bogdanovich, 1972)",1
11,1,Thelma Adams,Observer,USA,"1. Some Like It Hot (Billy Wilder, 1959)",10
12,2,Thelma Adams,Observer,USA,"2. Harold and Maude (Hal Ashby, 1971)",9
13,3,Thelma Adams,Observer,USA,"3. Monty Python and the Holy Grail (Terry Gilliam and Terry Jones, 1975)",8
14,4,Thelma Adams,Observer,USA,"4. Young Frankenstein (Mel Brooks, 1974)",7
15,5,Thelma Adams,Observer,USA,"5. The Court Jester (Melvin Frank and Norman Panama, 1955)",6
16,6,Thelma Adams,Observer,USA,"6. Ball of Fire (Howard Hawks, 1941)",5
17,7,Thelma Adams,Observer,USA,"7. It's a Mad Mad Mad Mad World (Stanley Kramer, 1963)",4
18,8,Thelma Adams,Observer,USA,"8. A Night at the Opera (Sam Wood and Edmund Goulding, 1935)",3
19,9,Thelma Adams,Observer,USA,"9. Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb (Stanley Kubrick, 1964)",2
20,10,Thelma Adams,Observer,USA,"10. Women on the Verge of a Nervous Breakdown (Pedro Almodóvar, 1988)",1
21,1,Diana Maria Agudelo,Kinetoscopio,Columbia,"1. Some Like It Hot (Billy Wilder, 1959)",10
22,2,Diana Maria Agudelo,Kinetoscopio,Columbia,"2. Airplane! (Jim Abrahams, David Zucker and Jerry Zucker, 1980)",9
23,3,Diana Maria Agudelo,Kinetoscopio,Columbia,"3. Young Frankenstein (Mel Brooks, 1974)",8
24,4,Diana Maria Agudelo,Kinetoscopio,Columbia,"4. Modern Times (Charlie Chaplin, 1936)",7
25,5,Diana Maria Agudelo,Kinetoscopio,Columbia,"5. Life of Brian (Terry Jones, 1979)",6
26,6,Diana Maria Agudelo,Kinetoscopio,Columbia,"6. The General (Clyde Bruckman and Buster Keaton, 1926)",5
27,7,Diana Maria Agudelo,Kinetoscopio,Columbia,"7. A Night at the Opera (Sam Wood and Edmund Goulding, 1935)",4
28,8,Diana Maria Agudelo,Kinetoscopio,Columbia,"8. Belle Epoque (Fernando Trueba, 1992)",3
29,9,Diana Maria Agudelo,Kinetoscopio,Columbia,"9. Raquel's Shoeshiner (Miguel M. Delgado, 1957)",2
30,10,Diana Maria Agudelo,Kinetoscopio,Columbia,"10. Bridesmaids (Paul Feig, 2011)",1
31,1,Arturo Aguilar,Gatopardo,Mexico,"1. Life of Brian (Terry Jones, 1979)",10
32,2,Arturo Aguilar,Gatopardo,Mexico,"2. Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb (Stanley Kubrick, 1964)",9
33,3,Arturo Aguilar,Gatopardo,Mexico,"3. Annie Hall (Woody Allen, 1977)",8
34,4,Arturo Aguilar,Gatopardo,Mexico,"4. Airplane! (Jim Abrahams, David Zucker and Jerry Zucker, 1980)",7
35,5,Arturo Aguilar,Gatopardo,Mexico,"5. The Big Lebowski (Joel and Ethan Coen, 1998)",6
36,6,Arturo Aguilar,Gatopardo,Mexico,"6. Groundhog Day (Harold Ramis, 1993)",5
37,7,Arturo Aguilar,Gatopardo,Mexico,"7. When Harry Met Sally... (Rob Reiner, 1989)",4
38,8,Arturo Aguilar,Gatopardo,Mexico,"8. Some Like It Hot (Billy Wilder, 1959)",3
39,9,Arturo Aguilar,Gatopardo,Mexico,"9. Playtime (Jacques Tati, 1967)",2
40,10,Arturo Aguilar,Gatopardo,Mexico,"10. Hot Fuzz (Edgar Wright, 2007)",1
41,1,Aderinsola Ajao,Freelance,Nigeria,"1. Singin' in the Rain (Stanley Donen and Gene Kelly, 1952)",10
42,2,Aderinsola Ajao,Freelance,Nigeria,"2. Modern Times (Charlie Chaplin, 1936)",9
43,3,Aderinsola Ajao,Freelance,Nigeria,"3. A Funny Thing Happened on the Way to the Forum (Richard Lester, 1966)",8
44,4,Aderinsola Ajao,Freelance,Nigeria,"4. Airplane! (Jim Abrahams, David Zucker and Jerry Zucker, 1980)",7
45,5,Aderinsola Ajao,Freelance,Nigeria,"5. Lagos Na Wah!! Part 1 (Kehinde Soaga, 1994)",6
46,6,Aderinsola Ajao,Freelance,Nigeria,"6. The Muppet Movie (James Frawley, 1979)",5
47,7,Aderinsola Ajao,Freelance,Nigeria,"7. Friday (F Gary Gray, 1995)",4
48,8,Aderinsola Ajao,Freelance,Nigeria,"8. Kung Fu Hustle (Stephen Chow, 2004)",3
49,9,Aderinsola Ajao,Freelance,Nigeria,"9. The Party (Blake Edwards, 1968)",2
50,10,Aderinsola Ajao,Freelance,Nigeria,"10. Carry on Camping (Gerald Thomas, 1969)",1
51,1,Ola Al-Sheikh,Al-Hayat Newspaper and Roman Magazine,Palestine,"1. Good Bye Lenin! (Wolfgang Becker, 2003)",10
52,2,Ola Al-Sheikh,Al-Hayat Newspaper and Roman Magazine,Palestine,"2. Kit Kat (Daoud Abdel Sayed, 1991)",9
53,3,Ola Al-Sheikh,Al-Hayat Newspaper and Roman Magazine,Palestine,"3. The Party (Blake Edwards, 1968)",8
54,4,Ola Al-Sheikh,Al-Hayat Newspaper and Roman Magazine,Palestine,"4. El-Keif (Ali Abdel-Khalek, 1985)",7
55,5,Ola Al-Sheikh,Al-Hayat Newspaper and Roman Magazine,Palestine,"5. The Intouchables (Olivier Nakache and Éric Toledano, 2011)",6
56,6,Ola Al-Sheikh,Al-Hayat Newspaper and Roman Magazine,Palestine,"6. O Brother, Where Art Thou? (Joel and Ethan Coen, 2000)",5
57,7,Ola Al-Sheikh,Al-Hayat Newspaper and Roman Magazine,Palestine,"7. Laylat El Qabd Ala Bakiza Wa Zaghloul (Mohamed Abdel Aziz, 1988)",4
58,8,Ola Al-Sheikh,Al-Hayat Newspaper and Roman Magazine,Palestine,"8. This is the End (Evan Goldberg and Seth Rogen, 2013)",3
59,9,Ola Al-Sheikh,Al-Hayat Newspaper and Roman Magazine,Palestine,"9. Despicable Me (Pierre Coffin and Chris Renaud, 2010)",2
60,10,Ola Al-Sheikh,Al-Hayat Newspaper and Roman Magazine,Palestine,"10. The Source (Radu Mihăileanu, 2011)",1
61,1,Neta Alexander,Haaretz,USA,"1. Modern Times (Charlie Chaplin, 1936)",10
62,2,Neta Alexander,Haaretz,USA,"2. Life of Brian (Terry Jones, 1979)",9
63,3,Neta Alexander,Haaretz,USA,"3. Sherlock Jr (Buster Keaton, 1924)",8
64,4,Neta Alexander,Haaretz,USA,"4. The Consequences of Feminism (Alice Guy-Blaché, 1906)",7
65,5,Neta Alexander,Haaretz,USA,"5. Daisies (Věra Chytilová, 1966)",6
66,6,Neta Alexander,Haaretz,USA,"6. Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (Larry Charles, 2006)",5
67,7,Neta Alexander,Haaretz,USA,"7. Kika (Pedro Almodóvar, 1993)",4
68,8,Neta Alexander,Haaretz,USA,"8. But I'm a Cheerleader (Jamie Babbit, 1999)",3
69,9,Neta Alexander,Haaretz,USA,"9. Airplane! (Jim Abrahams, David Zucker and Jerry Zucker, 1980)",2
70,10,Neta Alexander,Haaretz,USA,"10. Duck Soup (Leo McCarey, 1933)",1
71,1,Matthew Anderson,The New York Times,UK,"1. Withnail and I (Bruce Robinson, 1987)",10
72,2,Matthew Anderson,The New York Times,UK,"2. Hannah and Her Sisters (Woody Allen, 1986)",9
73,3,Matthew Anderson,The New York Times,UK,"3. American Psycho (Mary Harron, 2000)",8
74,4,Matthew Anderson,The New York Times,UK,"4. The Discreet Charm of the Bourgeoisie (Luis Buñuel, 1972)",7
75,5,Matthew Anderson,The New York Times,UK,"5. Women on the Verge of a Nervous Breakdown (Pedro Almodóvar, 1988)",6
76,6,Matthew Anderson,The New York Times,UK,"6. The Apartment (Billy Wilder, 1960)",5
77,7,Matthew Anderson,The New York Times,UK,"7. Toni Erdmann (Maren Ade, 2016)",4
78,8,Matthew Anderson,The New York Times,UK,"8. Y tu mamá también (Alfonso Cuarón, 2001)",3
79,9,Matthew Anderson,The New York Times,UK,"9. Clue (Jonathan Lynn, 1985)",2
80,10,Matthew Anderson,The New York Times,UK,"10. The Castle (Rob Sitch, 1997)",1
81,1,Mallory Andrews,cleo,Canada,"1. The Apartment (Billy Wilder, 1960)",10
82,2,Mallory Andrews,cleo,Canada,"2. American Movie (Chris Smith, 1999)",9
83,3,Mallory Andrews,cleo,Canada,"3. Singin' in the Rain (Stanley Donen and Gene Kelly, 1952)",8
84,4,Mallory Andrews,cleo,Canada,"4. Playtime (Jacques Tati, 1967)",7
85,5,Mallory Andrews,cleo,Canada,"5. It Happened One Night (Frank Capra, 1934)",6
86,6,Mallory Andrews,cleo,Canada,"6. Broadcast News (James L Brooks, 1987)",5
87,7,Mallory Andrews,cleo,Canada,"7. The General (Clyde Bruckman and Buster Keaton, 1926)",4
88,8,Mallory Andrews,cleo,Canada,"8. Design for Living (Ernst Lubitsch, 1933)",3
89,9,Mallory Andrews,cleo,Canada,"9. Duck Soup (Leo McCarey, 1933)",2
90,10,Mallory Andrews,cleo,Canada,"10. Tampopo (Jūzō Itami, 1985)",1
91,1,Nigel Andrews,Financial Times,UK,"1. Annie Hall (Woody Allen, 1977)",10
92,2,Nigel Andrews,Financial Times,UK,"2. Airplane! (Jim Abrahams, David Zucker and Jerry Zucker, 1980)",9
93,3,Nigel Andrews,Financial Times,UK,"3. Duck Soup (Leo McCarey, 1933)",8
94,4,Nigel Andrews,Financial Times,UK,"4. The Nutty Professor (Jerry Lewis, 1963)",7
