State,Region,Cabinet ministers,Women cabinet ministers,Council of ministers,Women council of ministers,Ruling party,No of women MLAs of the ruling party,No of Women MLAs,Total no of Seats,Source
Andhra Pradesh,South,,,20,3,Telugu Desam Party,11,18,175,http://www.ap.gov.in/government/council-of-ministers/
Tamil Nadu,South,,,31,2,AIADMK,8,17,234,http://www.tn.gov.in/ministerslist
Telangana,South,,,18,0,TRS,6,9,119,http://en.wikipedia.org/wiki/List_of_cabinet_ministers_of_Telangana
Kerala,South,,,21,1,UDF,1,7,140,http://www.kerala.gov.in/index.php?option=com_content&id=3866&Itemid=3069
Karnataka,South,,,30,1,INC,3,6,224,http://en.wikipedia.org/wiki/Government_of_Karnataka
Goa,West,,,12,1,BJP,1,2,40,http://goaassembly.gov.in/council-of-ministers.php
Maharashtra,West,18,1,30,2,BJP+SS,12,20,289,http://en.wikipedia.org/wiki/Government_of_Maharashtra
Rajasthan,West,14,2,26,4,BJP,22,28,200,http://www.rajassembly.nic.in/Cabinet.htm
Gujarat,West,8,1,24,2,BJP,12,16,182,http://gad.gujarat.gov.in/Personnel/council-of-ministers-new.htm
Delhi,North,,,7,0,AAP,6,6,70,
J&K,North,,,No govt. yet,,,,,,
Himachal Pradesh,North,,,11,1,INC,2,3,68,http://himachal.nic.in/index1.php?lang=1&dpt_id=17&level=1&lid=2155&sublinkid=1767
Punjab,North,,,18,0,SAD+BJP,8,14,117,http://punjab.gov.in/en_GB/council-of-ministers
Haryana,North,7,1,10,1,BJP,7,13,90,http://haryana.gov.in/Administration/minister.asp
UP,North,26,0,51,0,SP,20,35,403,http://upcmo.up.nic.in/cabinet_minister.htm
Uttarakhand,North,,,11,1,INC,4,5,70,http://cm.uk.gov.in/pages/display/960-cabinet
Madhya Pradesh,Central,20,3,24,3,BJP,22,30,230,http://mpinfo.org/MPinfoStatic/English/council/cabinetmin/ministersindex.asp
Chattisgarh,Central,,,14,1,BJP,5,10,90,http://cgvidhansabha.gov.in/english/cabinet.html
Bihar,East,,,31,1,JD(U),21,34,243,http://indialookup.in/bihar-cabinet-ministers-list/
Jharkhand,East,,,4,1,BJP+JD(U)+JMM,5,8,81,http://prdjharkhand.in/ministers.php
Orissa,East,12,1,26,3,BJD,10,11,147,http://www.odisha.gov.in/cmodisha/Cabinet.asp
West Bengal,East,35,2,43,4,AITC,24,34,294,http://en.wikipedia.org/wiki/Council_of_Ministers_of_West_Bengal
Assam,Northeast,12,1,15,1,INC,11,14,126,http://assamassembly.gov.in/minister-list.html
Meghalaya,Northeast,,,12,3,INC led MUA,4,4,60,http://meghalaya.gov.in:8080/megportal/ministerslist
Mizoram,Northeast,,,12,0,INC,0,0,40,http://dipr.mizoram.gov.in/page/head-of-government/council-of-ministers
Sikkim,Northeast,,,12,1,SDF,3,3,32,http://www.sikkimassembly.org/council_minister.html
Manipur,Northeast,,,12,1,INC,2,3,60,http://www.manipurpcc.org.in/party-in-government-2/council-of-ministers/
Nagaland,Northeast,,,12,0,NPF,0,0,60,http://www.sarkaritel.com/states/council_of_ministers.php?state=NL
Arunachal Pradesh,Northeast,,,12,0,INC,2,2,60,http://www.arunachalpradeshcm.in/com.php
