State,1957,1962,1967,1977,1980,1984,1989,1991,1996,1998,1999,2004,2009,2014
Andhra Pradesh,8.6,9.3,7.3,2.4,7.14,4.76,11.9,4.8,7.1,4.8,9.5,7.1,11.9,8
Assam,20,16.7,0,14.3,0,0,0,0,6.7,6.7,13.3,0,13.3,13.3
Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,11.1,11.3,7.5,0,9.26,16.67,3.7,5.6,5.6,7.4,9.3,7.5,10,7.5
Bombay,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,,,0,0,0,0,0,0,0,0,0,0,50,100
Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,9.1,18.2,9.1
Delhi,25,0,0,0,0,14.29,0,0,28.6,28.6,14.3,14.3,14.3,14.3
Goa,0,0,0,0,50,0,0,0,0,0,0,0,0,0
Gujarat,0,9.1,4.2,3.8,0,7.69,0,7.7,7.7,15.4,11.5,3.8,15.4,15.4
Haryana,0,0,0,10,0,0,0,10,10,10,20,10,20,0
Himachal Pradesh,0,0,0,0,0,25,0,0,0,0,0,25,0,0
Jammu Kashmir,0,0,0,33.3,0,16.67,0,0,0,0,0,16.7,0,16.7
Jharkhand,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0
Karnataka,0,0,0,3.6,0,7.14,3.6,10.7,3.6,0,7.1,7.1,3.6,3.6
Kerala,0,0,5.3,0,5,0,5,10,0,5,5,10,0,5
Madhya Pradesh,11.1,16.7,13.5,0,7.5,5,7.5,12.5,12.5,10,7.5,6.9,20.7,17.2
Madras,2.9,2.4,2.6,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,0,2.3,4.4,7.5,6.25,6.25,4.2,6.3,4.2,4.2,8.3,10.4,6.3,10.4
Manipur,0,0,0,0,0,0,0,0,0,50,0,0,0,0
Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,50,0
Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mysore,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,100,0,0,0,0,0,0,0,0,0,0
Orissa,0,0,0,0,0,4.76,0,4.8,9.5,9.5,9.5,9.5,0,9.5
Punjab,5.9,0,15.4,0,15.38,7.69,23.1,15.4,7.7,7.7,15.4,15.4,30.8,7.7
Rajasthan,0,4.5,4.3,0,4,8,4,16,16,12,12,8,12,4
Sikkim,0,0,0,0,0,0,0,100,0,0,0,0,0,0
Tamil Nadu,0,0,0,5.1,0,5.13,5.1,7.7,0,2.6,2.6,10.3,2.6,10.3
Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9
Tripura,0,0,0,0,0,0,0,50,0,0,0,0,0,0
Uttar Pradesh,1.5,7,8.2,3.5,8.24,10.59,7.1,3.5,10.6,10.6,10.6,8.8,15,16.3
Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,20
West Bengal,7.1,2.8,5,5,4.76,11.9,7.1,7.1,9.5,11.9,11.9,9.5,16.7,28.6
Dadra &Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laccadive and Minicoy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
