group,year,value,constituencies
Andhra Pradesh,1947,0,0
Andhra Pradesh,1948,0,0
Andhra Pradesh,1949,0,0
Andhra Pradesh,1950,0,0
Andhra Pradesh,1951,0,0
Andhra Pradesh,1952,0,0
Andhra Pradesh,1953,0,0
Andhra Pradesh,1954,0,0
Andhra Pradesh,1955,0,167
Andhra Pradesh,1956,0,167
Andhra Pradesh,1957,7,85
Andhra Pradesh,1958,0,85
Andhra Pradesh,1959,0,85
Andhra Pradesh,1960,0,85
Andhra Pradesh,1961,0,85
Andhra Pradesh,1962,10,300
Andhra Pradesh,1963,0,300
Andhra Pradesh,1964,0,300
Andhra Pradesh,1965,0,300
Andhra Pradesh,1966,0,300
Andhra Pradesh,1967,11,287
Andhra Pradesh,1968,0,287
Andhra Pradesh,1969,0,287
Andhra Pradesh,1970,0,287
Andhra Pradesh,1971,0,287
Andhra Pradesh,1972,0,287
Andhra Pradesh,1973,0,287
Andhra Pradesh,1974,0,287
Andhra Pradesh,1975,0,287
Andhra Pradesh,1976,0,287
Andhra Pradesh,1977,0,287
Andhra Pradesh,1978,10,294
Andhra Pradesh,1979,0,294
Andhra Pradesh,1980,0,294
Andhra Pradesh,1981,0,294
Andhra Pradesh,1982,0,294
Andhra Pradesh,1983,11,294
Andhra Pradesh,1984,0,294
Andhra Pradesh,1985,10,294
Andhra Pradesh,1986,0,294
Andhra Pradesh,1987,0,294
Andhra Pradesh,1988,0,294
Andhra Pradesh,1989,17,294
Andhra Pradesh,1990,0,294
Andhra Pradesh,1991,0,294
Andhra Pradesh,1992,0,294
Andhra Pradesh,1993,0,294
Andhra Pradesh,1994,8,294
Andhra Pradesh,1995,0,294
Andhra Pradesh,1996,0,294
Andhra Pradesh,1997,0,294
Andhra Pradesh,1998,0,294
Andhra Pradesh,1999,28,294
Andhra Pradesh,2000,0,294
Andhra Pradesh,2001,0,294
Andhra Pradesh,2002,0,294
Andhra Pradesh,2003,0,294
Andhra Pradesh,2004,26,294
Andhra Pradesh,2005,0,294
Andhra Pradesh,2006,0,294
Andhra Pradesh,2007,0,294
Andhra Pradesh,2008,0,294
Andhra Pradesh,2009,34,294
Andhra Pradesh,2010,0,294
Andhra Pradesh,2011,0,294
Andhra Pradesh,2012,0,294
Andhra Pradesh,2013,0,294
Andhra Pradesh,2014,27,294
Arunachal Pradesh,1947,0,0
Arunachal Pradesh,1948,0,0
Arunachal Pradesh,1949,0,0
Arunachal Pradesh,1950,0,0
Arunachal Pradesh,1951,0,0
Arunachal Pradesh,1952,0,0
Arunachal Pradesh,1953,0,0
Arunachal Pradesh,1954,0,0
Arunachal Pradesh,1955,0,0
Arunachal Pradesh,1956,0,0
Arunachal Pradesh,1957,0,0
Arunachal Pradesh,1958,0,0
Arunachal Pradesh,1959,0,0
Arunachal Pradesh,1960,0,0
Arunachal Pradesh,1961,0,0
Arunachal Pradesh,1962,0,0
Arunachal Pradesh,1963,0,0
Arunachal Pradesh,1964,0,0
Arunachal Pradesh,1965,0,0
Arunachal Pradesh,1966,0,0
Arunachal Pradesh,1967,0,0
Arunachal Pradesh,1968,0,0
Arunachal Pradesh,1969,0,0
Arunachal Pradesh,1970,0,0
Arunachal Pradesh,1971,0,0
Arunachal Pradesh,1972,0,0
Arunachal Pradesh,1973,0,0
Arunachal Pradesh,1974,0,0
Arunachal Pradesh,1975,0,0
Arunachal Pradesh,1976,0,0
Arunachal Pradesh,1977,0,0
Arunachal Pradesh,1978,0,30
Arunachal Pradesh,1979,0,30
Arunachal Pradesh,1980,1,30
Arunachal Pradesh,1981,0,30
Arunachal Pradesh,1982,0,30
Arunachal Pradesh,1983,0,30
Arunachal Pradesh,1984,2,30
Arunachal Pradesh,1985,0,30
Arunachal Pradesh,1986,0,30
Arunachal Pradesh,1987,0,30
Arunachal Pradesh,1988,0,30
Arunachal Pradesh,1989,0,30
Arunachal Pradesh,1990,1,60
Arunachal Pradesh,1991,0,60
Arunachal Pradesh,1992,0,60
Arunachal Pradesh,1993,0,60
Arunachal Pradesh,1994,0,60
Arunachal Pradesh,1995,1,60
Arunachal Pradesh,1996,0,60
Arunachal Pradesh,1997,0,60
Arunachal Pradesh,1998,0,60
Arunachal Pradesh,1999,1,60
Arunachal Pradesh,2000,0,60
Arunachal Pradesh,2001,0,60
Arunachal Pradesh,2002,0,60
Arunachal Pradesh,2003,0,60
Arunachal Pradesh,2004,0,60
Arunachal Pradesh,2005,0,60
Arunachal Pradesh,2006,0,60
Arunachal Pradesh,2007,0,60
Arunachal Pradesh,2008,0,60
Arunachal Pradesh,2009,2,60
Arunachal Pradesh,2010,0,60
Arunachal Pradesh,2011,0,60
Arunachal Pradesh,2012,0,60
Arunachal Pradesh,2013,0,60
Arunachal Pradesh,2014,2,60
Assam,1947,0,0
Assam,1948,0,0
Assam,1949,0,0
Assam,1950,0,0
Assam,1951,0,91
Assam,1952,0,91
Assam,1953,0,91
Assam,1954,0,91
Assam,1955,0,91
Assam,1956,0,91
Assam,1957,5,94
Assam,1958,0,94
Assam,1959,0,94
Assam,1960,0,94
Assam,1961,0,94
Assam,1962,4,105
Assam,1963,0,105
Assam,1964,0,105
Assam,1965,0,105
Assam,1966,0,105
Assam,1967,4,126
Assam,1968,0,126
Assam,1969,0,126
Assam,1970,0,126
Assam,1971,0,126
Assam,1972,0,114
Assam,1973,0,114
Assam,1974,0,114
Assam,1975,0,114
Assam,1976,0,114
Assam,1977,0,114
Assam,1978,1,126
Assam,1979,0,126
Assam,1980,0,126
Assam,1981,0,126
Assam,1982,0,126
Assam,1983,2,109
Assam,1984,0,109
Assam,1985,5,126
Assam,1986,0,126
Assam,1987,0,126
Assam,1988,0,126
Assam,1989,0,126
Assam,1990,0,126
Assam,1991,5,126
Assam,1992,0,126
Assam,1993,0,126
Assam,1994,0,126
Assam,1995,0,126
Assam,1996,6,122
Assam,1997,0,122
Assam,1998,0,122
Assam,1999,0,122
Assam,2000,0,122
Assam,2001,10,126
Assam,2002,0,126
Assam,2003,0,126
Assam,2004,0,126
Assam,2005,0,126
Assam,2006,13,126
Assam,2007,0,126
Assam,2008,0,126
Assam,2009,0,126
Assam,2010,0,126
Assam,2011,14,126
Assam,2012,0,126
Assam,2013,0,126
Assam,2014,0,126
Chhattisgarh,1947,0,0
Chhattisgarh,1948,0,0
Chhattisgarh,1949,0,0
Chhattisgarh,1950,0,0
Chhattisgarh,1951,0,0
Chhattisgarh,1952,0,0
Chhattisgarh,1953,0,0
Chhattisgarh,1954,0,0
Chhattisgarh,1955,0,0
Chhattisgarh,1956,0,0
Chhattisgarh,1957,0,0
Chhattisgarh,1958,0,0
Chhattisgarh,1959,0,0
Chhattisgarh,1960,0,0
Chhattisgarh,1961,0,0
Chhattisgarh,1962,0,0
Chhattisgarh,1963,0,0
Chhattisgarh,1964,0,0
Chhattisgarh,1965,0,0
Chhattisgarh,1966,0,0
Chhattisgarh,1967,0,0
Chhattisgarh,1968,0,0
Chhattisgarh,1969,0,0
Chhattisgarh,1970,0,0
Chhattisgarh,1971,0,0
Chhattisgarh,1972,0,0
Chhattisgarh,1973,0,0
Chhattisgarh,1974,0,0
Chhattisgarh,1975,0,0
Chhattisgarh,1976,0,0
Chhattisgarh,1977,0,0
Chhattisgarh,1978,0,0
Chhattisgarh,1979,0,0
Chhattisgarh,1980,0,0
Chhattisgarh,1981,0,0
Chhattisgarh,1982,0,0
Chhattisgarh,1983,0,0
Chhattisgarh,1984,0,0
Chhattisgarh,1985,0,0
Chhattisgarh,1986,0,0
Chhattisgarh,1987,0,0
Chhattisgarh,1988,0,0
Chhattisgarh,1989,0,0
Chhattisgarh,1990,0,0
Chhattisgarh,1991,0,0
Chhattisgarh,1992,0,0
Chhattisgarh,1993,0,0
Chhattisgarh,1994,0,0
Chhattisgarh,1995,0,0
Chhattisgarh,1996,0,0
Chhattisgarh,1997,0,0
Chhattisgarh,1998,0,0
Chhattisgarh,1999,0,0
Chhattisgarh,2000,0,0
Chhattisgarh,2001,0,0
Chhattisgarh,2002,0,0
Chhattisgarh,2003,5,90
Chhattisgarh,2004,0,90
Chhattisgarh,2005,0,90
Chhattisgarh,2006,0,90
Chhattisgarh,2007,0,90
Chhattisgarh,2008,11,90
Chhattisgarh,2009,0,90
Chhattisgarh,2010,0,90
Chhattisgarh,2011,0,90
Chhattisgarh,2012,0,90
Chhattisgarh,2013,10,90
Chhattisgarh,2014,0,90
Delhi,1947,0,0
Delhi,1948,0,0
Delhi,1949,0,0
Delhi,1950,0,0
Delhi,1951,0,42
Delhi,1952,0,42
Delhi,1953,0,42
Delhi,1954,0,42
Delhi,1955,0,42
Delhi,1956,0,42
Delhi,1957,0,42
Delhi,1958,0,42
Delhi,1959,0,42
Delhi,1960,0,42
Delhi,1961,0,42
Delhi,1962,0,42
Delhi,1963,0,42
Delhi,1964,0,42
Delhi,1965,0,42
Delhi,1966,0,42
Delhi,1967,0,42
Delhi,1968,0,42
Delhi,1969,0,42
Delhi,1970,0,42
Delhi,1971,0,42
Delhi,1972,3,56
Delhi,1973,0,56
Delhi,1974,0,56
Delhi,1975,0,56
Delhi,1976,0,56
Delhi,1977,4,56
Delhi,1978,0,56
Delhi,1979,0,56
Delhi,1980,0,56
Delhi,1981,0,56
Delhi,1982,0,56
Delhi,1983,4,58
Delhi,1984,0,58
Delhi,1985,0,58
Delhi,1986,0,58
Delhi,1987,0,58
Delhi,1988,0,58
Delhi,1989,0,58
Delhi,1990,0,58
Delhi,1991,0,58
Delhi,1992,0,58
Delhi,1993,3,70
Delhi,1994,0,70
Delhi,1995,0,70
Delhi,1996,0,70
Delhi,1997,0,70
Delhi,1998,9,70
Delhi,1999,0,70
Delhi,2000,0,70
Delhi,2001,0,70
Delhi,2002,0,70
Delhi,2003,7,70
Delhi,2004,0,70
Delhi,2005,0,70
Delhi,2006,0,70
Delhi,2007,0,70
Delhi,2008,3,70
Delhi,2009,0,70
Delhi,2010,0,70
Delhi,2011,0,70
Delhi,2012,0,70
Delhi,2013,3,70
Delhi,2014,0,70
Goa,1947,0,0
Goa,1948,0,0
Goa,1949,0,0
Goa,1950,0,0
Goa,1951,0,0
Goa,1952,0,0
Goa,1953,0,0
Goa,1954,0,0
Goa,1955,0,0
Goa,1956,0,0
Goa,1957,0,0
Goa,1958,0,0
Goa,1959,0,0
Goa,1960,0,0
Goa,1961,0,0
Goa,1962,0,0
Goa,1963,0,0
Goa,1964,0,0
Goa,1965,0,0
Goa,1966,0,0
Goa,1967,1,30
Goa,1968,0,30
Goa,1969,0,30
Goa,1970,0,30
Goa,1971,0,30
Goa,1972,0,30
Goa,1973,0,30
Goa,1974,0,30
Goa,1975,0,30
Goa,1976,0,30
Goa,1977,1,30
Goa,1978,0,30
Goa,1979,0,30
Goa,1980,0,30
Goa,1981,0,30
Goa,1982,0,30
Goa,1983,0,30
Goa,1984,0,30
Goa,1985,0,30
Goa,1986,0,30
Goa,1987,0,30
Goa,1988,0,30
Goa,1989,2,40
