year,value,constituencies
1951,0,489
1952,0,489
1953,0,489
1954,0,489
1955,0,489
1956,0,489
1957,22,494
1958,0,494
1959,0,494
1960,0,494
1961,0,494
1962,31,494
1963,0,494
1964,0,494
1965,0,494
1966,0,494
1967,29,520
1968,0,520
1969,0,520
1970,0,520
1971,0,518
1972,0,518
1973,0,518
1974,0,518
1975,0,518
1976,0,518
1977,19,542
1978,0,542
1979,0,542
1980,28,529
1981,0,541
1982,0,541
1983,0,541
1984,43,541
1985,0,541
1986,0,541
1987,0,541
1988,0,541
1989,29,529
1990,0,529
1991,39,521
1992,0,543
1993,0,543
1994,0,543
1995,0,543
1996,40,543
1997,0,543
1998,43,543
1999,49,543
2000,0,543
2001,0,543
2002,0,543
2003,0,543
2004,45,543
2005,0,543
2006,0,543
2007,0,543
2008,0,543
2009,58,543
2010,0,543
2011,0,543
2012,0,543
2013,0,543
2014,62,543
