State,2014,Seats
Arunachal Pradesh,0,2
Goa,0,2
Haryana,0,10
Himachal Pradesh,0,4
Jharkhand,0,14
Manipur,0,2
Meghalaya,0,2
Mizoram,0,1
Nagaland,0,1
Sikkim,0,1
Tripura,0,2
Dadra &Nagar Haveli,0,1
Pondicherry,0,1
Andaman and Nicobar,0,1
Karnataka,3.6,28
Rajasthan,4,25
Kerala,5,20
Telangana,5.9,17
Bihar,7.5,40
Punjab,7.7,13
Andhra Pradesh,8,25
Chhattisgarh,9.1,11
Orissa,9.5,21
Tamil Nadu,10.3,39
Maharashtra,10.4,48
Assam,13.3,15
Delhi,14.3,7
Gujarat,15.4,26
Uttar Pradesh,16.3,80
Jammu Kashmir,16.7,6
Madhya Pradesh,17.2,29
Uttarakhand,20,5
West Bengal,28.6,42
Chandigarh,100,1
