Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Sex offenses - Non-forcible,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson,Forcible sex offense incidence rate,Non-forcible sex offense incidence rate,Robbery incidence rate,Aggravated assault rate,Burglary incidence rate,Motor vehicle theft incidence rate,Arson incidence rate,State,lat,long
2001,104151,Arizona State University-Tempe,1,Tempe Campus,45693,0,0,12,1,2,22,127,59,2,0.0262622284,0.002188519,0.0043770381,0.0481474186,0.2779419167,0.1291226227,0.0043770381,AZ,33.416922,-111.936307
2002,104151,Arizona State University-Tempe,1,Tempe Campus,47359,1,0,7,0,2,23,153,105,9,0.0147807175,0,0.0042230621,0.0485652146,0.3230642539,0.2217107625,0.0190037796,AZ,33.416922,-111.936307
2003,104151,Arizona State University-Tempe,1,Tempe Campus,48901,0,0,9,0,1,30,148,112,2,0.0184045316,0,0.002044948,0.0613484387,0.3026522975,0.2290341711,0.0040898959,AZ,33.416922,-111.936307
2004,104151,Arizona State University-Tempe,1,Tempe Campus,49171,0,0,10,0,4,19,180,122,3,0.0203371906,0,0.0081348762,0.0386406622,0.3660694312,0.2481137256,0.0061011572,AZ,33.416922,-111.936307
2005,104151,Arizona State University-Tempe,1,Tempe Campus,51612,0,0,10,0,6,18,153,72,1,0.0193753391,0,0.0116252034,0.0348756103,0.2964426877,0.1395024413,0.0019375339,AZ,33.416922,-111.936307
2006,104151,Arizona State University-Tempe,1,Tempe Campus,51234,0,0,8,0,4,20,129,70,2,0.0156146309,0,0.0078073155,0.0390365773,0.2517859234,0.1366280205,0.0039036577,AZ,33.416922,-111.936307
2007,104151,Arizona State University-Tempe,1,Tempe Campus,51481,0,0,6,0,5,16,119,67,4,0.0116547853,0,0.0097123211,0.0310794274,0.231153241,0.1301451021,0.0077698568,AZ,33.416922,-111.936307
2008,104151,Arizona State University-Tempe,1,Tempe Campus,67082,0,0,3,0,5,15,116,51,6,0.0044721386,0,0.0074535643,0.0223606929,0.1729226916,0.0760263558,0.0089442772,AZ,33.416922,-111.936307
2008,104151,Arizona State University-Tempe,2,Downtown Phoenix Campus,67082,0,0,1,0,1,0,1,0,0,0.0014907129,0,0.0014907129,0,0.0014907129,0,0,AZ,33.416922,-111.936307
2008,104151,Arizona State University-Tempe,3,Polytechnic Campus,67082,0,0,0,0,0,1,7,1,2,0,0,0,0.0014907129,0.01043499,0.0014907129,0.0029814257,AZ,33.416922,-111.936307
2008,104151,Arizona State University-Tempe,4,West Campus,67082,0,0,0,0,0,0,8,5,0,0,0,0,0,0.0119257029,0.0074535643,0,AZ,33.416922,-111.936307
2009,104151,Arizona State University-Tempe,1,Tempe Campus,68064,0,0,3,0,5,20,119,29,0,0.0044076164,0,0.0073460273,0.0293841091,0.174835449,0.0426069582,0,AZ,33.416922,-111.936307
2009,104151,Arizona State University-Tempe,2,Downtown Phoenix Campus,68064,0,0,1,0,3,0,1,0,0,0.0014692055,0,0.0044076164,0,0.0014692055,0,0,AZ,33.416922,-111.936307
2009,104151,Arizona State University-Tempe,3,Polytechnic Campus,68064,0,0,1,0,1,1,4,1,0,0.0014692055,0,0.0014692055,0.0014692055,0.0058768218,0.0014692055,0,AZ,33.416922,-111.936307
