State,Election year,Next year,Previous #MLAs,Next #MLAs,value,Constituencies,Percentage
Andhra Pradesh,1957,1962,7,10,42,85,8
Andhra Pradesh,1962,1967,10,11,10,300,3
Andhra Pradesh,1967,1978,11,10,-10,287,3
Andhra Pradesh,1978,1983,10,11,10,294,3
Andhra Pradesh,1983,1985,11,10,-10,294,3
Andhra Pradesh,1985,1989,10,17,70,294,3
Andhra Pradesh,1989,1994,17,8,-53,294,5
Andhra Pradesh,1994,1999,8,28,250,294,2
Andhra Pradesh,1999,2004,28,26,-8,294,9
Andhra Pradesh,2004,2009,26,34,30,294,8
Andhra Pradesh,2009,2014,34,18,-48,294,11
Arunachal Pradesh,1980,1984,1,2,100,30,3
Arunachal Pradesh,1984,1990,2,1,-50,30,6
Arunachal Pradesh,1990,1995,1,1,0,60,1
Arunachal Pradesh,1995,1999,1,1,0,60,1
Arunachal Pradesh,1999,2009,1,2,100,60,1
Arunachal Pradesh,2009,2014,2,2,0,60,3
Assam,1957,1962,5,4,-20,94,5
Assam,1962,1967,4,4,0,105,3
Assam,1967,1978,4,1,-75,126,3
Assam,1978,1983,1,2,100,126,0
Assam,1983,1985,2,5,150,109,1
Assam,1985,1991,5,5,0,126,3
Assam,1991,1996,5,6,20,126,3
Assam,1996,2001,6,10,66,122,4
Assam,2001,2006,10,13,30,126,7
Assam,2006,2011,13,14,7,126,10
Bihar,1957,1962,30,25,-17,264,11
Bihar,1962,1967,25,6,-76,318,7
Bihar,1967,1969,6,4,-34,318,1
Bihar,1969,1977,4,13,225,318,1
Bihar,1977,1980,13,11,-16,324,4
Bihar,1980,1985,11,15,36,324,3
Bihar,1985,1990,15,10,-34,324,4
Bihar,1990,1995,10,11,10,324,3
Bihar,1995,2000,11,19,72,324,3
Bihar,2000,20051,19,3,-85,324,5
Bihar,20051,20052,3,25,733,243,1
Bihar,20052,2010,25,34,36,243,10
Chhattisgarh,2003,2008,5,11,120,90,5
Chhattisgarh,2008,2013,11,10,-10,90,12
Delhi,1972,1977,3,4,33,56,5
Delhi,1977,1983,4,4,0,56,7
Delhi,1983,1993,4,3,-25,58,6
Delhi,1993,1998,3,9,200,70,4
Delhi,1998,2003,9,7,-23,70,12
Delhi,2003,2008,7,3,-58,70,10
Delhi,2008,2013,3,3,0,70,4
Delhi,2013,0,3,0,-100,70,4
Goa,1967,1977,1,1,0,30,3
